app.default-instance.disable-lwjgl.description	Disable the LWJGL unsafe agent that patches FFM API performance issues.	components\ui\settings\DefaultInstanceSettings.vue
app.home-settings.title	Home page customization	components\ui\settings\HomeSettings.vue
app.home-settings.description	Toggle which sections appear on the Home page.	components\ui\settings\HomeSettings.vue
app.home-settings.jump-back-in.title	Jump back in	components\ui\settings\HomeSettings.vue
app.home-settings.jump-back-in.description	Shows recently played worlds and instances.	components\ui\settings\HomeSettings.vue
app.home-settings.discover-modpacks.title	Discover a modpack	components\ui\settings\HomeSettings.vue
app.home-settings.discover-modpacks.description	Shows popular modpacks from Modrinth.	components\ui\settings\HomeSettings.vue
app.home-settings.discover-mods.title	Discover mods	components\ui\settings\HomeSettings.vue
app.home-settings.discover-mods.description	Shows popular mods from Modrinth.	components\ui\settings\HomeSettings.vue
app.home-settings.update-reminders.title	Game update reminders	components\ui\settings\HomeSettings.vue
app.home-settings.update-reminders.description	Shows instances with available modpack or mod updates.	components\ui\settings\HomeSettings.vue
app.home-settings.system-status.title	System status & quick actions	components\ui\settings\HomeSettings.vue
app.home-settings.system-status.description	Shows Java installations, system memory, and quick launch actions.	components\ui\settings\HomeSettings.vue
app.home-settings.recent-screenshots.title	Recent screenshots	components\ui\settings\HomeSettings.vue
app.home-settings.recent-screenshots.description	Shows recent screenshots from all instances.	components\ui\settings\HomeSettings.vue
app.home-settings.random-mods.title	Random mod spotlight	components\ui\settings\HomeSettings.vue
app.home-settings.random-mods.description	Shows a random mod recommendation each time you open Home.	components\ui\settings\HomeSettings.vue
app.java-settings.java-location	Java {version} location	components\ui\settings\JavaSettings.vue
app.language-settings.language	Language	components\ui\settings\LanguageSettings.vue
app.privacy-settings.personalized-ads	Personalized ads	components\ui\settings\PrivacySettings.vue
app.privacy-settings.personalized-ads.desc	Modrinth's ad provider, Aditude, shows ads based on your preferences. By disabling this option, you opt out and ads will no longer be shown based on your interests.	components\ui\settings\PrivacySettings.vue
